renown,6.82,verb,to give renown to,N/A
schnook,12.93,noun,a stupid or unimportant person :dolt,N/A
marrow,5.02,noun,a soft substance that fills the bones of people and animals ,N/A
suspicious,5.02,adjective,causing a feeling that something is wrong or that someone is behaving wrongly :causing suspicion ,We were instructed to report any suspicious activity/behavior in the neighborhood.
disastrous,5.03,adjective,causing great suffering or loss ,Half the city was destroyed by a disastrous fire.
endure,5.03,verb,to continue to exist in the same state or condition ,This tradition has endured [=lasted] for centuries.
plague,5.03,verb,"to cause constant or repeated trouble, illness, etc., for (someone or something) ",parasites that plague deer
lymph,5.06,noun,a pale fluid that contains white blood cells and that passes through channels in the body and helps to keep bodily tissues healthy,N/A
assay,5.1,verb,to test something (such as a metal or drug) to find out what it contains ,They assayed the gold to determine its purity.
seminar,5.11,noun,a meeting in which you receive information on and training in a particular subject ,a writing seminar
yeast,5.12,noun,a type of fungus that is used in making alcoholic drinks (such as beer and wine) and in baking to help make dough rise,N/A
patrol,5.17,verb,"to walk or go around or through (an area, building, etc.) especially in order to make sure that it is safe ",The squad had orders to patrol the area.
coincidence,5.17,noun,a situation in which events happen at the same time in a way that is not planned or expected ,It was mere/pure/sheer coincidence that brought them together so far from Chicago.
suppress,5.17,verb,to end or stop (something) by force ,Political dissent was brutally suppressed.
trigger,5.18,verb,"to cause (something, such as an alarm) to start functioning ",Smoke triggered the fire alarm.
anticipate,5.21,verb,to think of (something that will or might happen in the future) :expect ,The cost turned out to be higher than anticipated.
epidemic,5.23,noun,an occurrence in which a disease spreads very quickly and affects a large number of people ,a flu epidemic
glow,5.24,verb,to shine with low light and heat but usually without flame ,The coals glowed in the fireplace.
spark,5.25,verb,to cause (something) to start or happen ,The question sparked a debate.
ripe,5.26,adjective,fully grown and developed and ready to be eaten ,a ripe tomato
incidental,5.26,adjective,happening as a minor part or result of something else ,You may incur some incidental expenses on the trip.
breathe,5.26,verb,to move air into and out of your lungs :to inhale and exhale ,Relax and breathe deeply.
pneumonia,5.39,noun,a serious disease that affects the lungs and makes it difficult to breathe ,He caught/contracted pneumonia over the winter.
impatient,5.4,adjective,not willing to wait for something or someone :not patient ,"After months of delays, customers are becoming/growing impatient."
notification,5.41,noun,something that gives official information to someone :the act of notifying someone ,I was given no notification that you received my payment.
fibrous,5.43,adjective,"containing, made of, or resembling fibers ",He had surgery to remove fibrous scar tissue in his knee.
credibility,5.44,noun,"the quality of being believed or accepted as true, real, or honest ",The new evidence lends credibility to their theory.
ultraviolet,5.45,adjective,sed to describe rays of light that cannot be seen and that are slightly shorter than the rays of violet light ,ultraviolet light/radiation
sour,5.55,adjective,having an acid taste that is like the taste of a lemon :tart ,sour pickles
regularity,5.55,noun,the quality of being regular: such as,the regularity of the seasons
bury,5.57,verb,to put (a dead person or animal) in a grave ,He was buried with full military honors.
shine,5.59,verb,to give off light ,The moon/stars shined brightly.
swell,5.6,verb,to become larger than normal ,Her broken ankle swelled badly.
astronomical,5.63,adjective,of or relating to astronomy ,astronomical research
cue,5.65,verb,to give (someone) a signal to do something during a performance ,Cue the band.
